individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthNote,coordNote,sequenceID,country,cluster,locality,yearCollected,verbatimDepth,associatedTaxa,identificationRemarks,scientificName,lineage
Aspat_1000,RRAP_ECT01_2022_Aspat_OCCH_1000,-18.670069,147.707557,OCCH,1.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1000_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat_1501,RRAP_ECT01_2022_Aspat_OCCH_1501,-18.669954,147.707641,OCCH,1.9,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1501_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat_1502,RRAP_ECT01_2022_Aspat_OCCH_1502,-18.669934,147.707631,OCCH,1.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1502_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat_1503,RRAP_ECT01_2022_Aspat_OCCH_1503,-18.669915,147.707647,OCCH,0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1503_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat_1504,RRAP_ECT01_2022_Aspat_OCCH_1504,-18.669891,147.70765,OCCH,0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1504_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat_1505,RRAP_ECT01_2022_Aspat_OCCH_1505,-18.669833,147.707649,OCCH,1.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1505_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat_1506,RRAP_ECT01_2022_Aspat_OCCH_1506,-18.670243,147.707176,OCCH,3.1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1506_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat_1507,RRAP_ECT01_2022_Aspat_OCCH_1507,-18.670177,147.707149,OCCH,3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1507_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat_1508,RRAP_ECT01_2022_Aspat_OCCH_1508,-18.670196,147.707095,OCCH,4.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1508_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat_1509,RRAP_ECT01_2022_Aspat_OCCH_1509,-18.670143,147.707036,OCCH,4.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1509_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
